City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,missing_value_count,is_aqi_outlier,is_pm25_outlier,data_quality_score,year,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_7,aqi_rolling_mean_3,aqi_rolling_mean_7,pm25_lag_1,pm10_lag_1,next_day_aqi
Bengaluru,2015-04-07,37.25,77.36,2.86,7.14,11.25,17.78,2.3,5.88,60.42,0.2,2.3,,76.0,Satisfactory,2,False,False,90,2015,4,1,0,71.0,90.0,102.33333333333333,122.85714285714286,31.78,77.36,153.0
Bengaluru,2015-04-08,29.8,77.36,2.59,9.04,7.52,24.2,6.84,1.84,49.55,0.12,20.68,,153.0,Moderate,2,False,False,90,2015,4,2,0,76.0,151.0,100.0,123.14285714285714,37.25,77.36,80.0
Bengaluru,2015-04-09,25.06,77.36,3.21,8.72,7.2,29.83,5.82,2.6,42.63,0.13,5.92,,80.0,Satisfactory,2,False,False,90,2015,4,3,0,153.0,123.0,103.0,117.0,29.8,77.36,129.0
Bengaluru,2015-04-10,24.4,77.36,6.87,7.46,8.7,23.17,5.19,2.03,44.47,8.64,8.48,,129.0,Moderate,2,False,False,90,2015,4,4,0,80.0,178.0,120.66666666666667,110.0,25.06,77.36,107.0
Bengaluru,2015-04-11,32.08,77.36,6.6,7.09,8.82,30.95,1.7,3.22,53.91,0.29,1.75,,107.0,Moderate,2,False,False,90,2015,4,5,1,129.0,101.0,105.33333333333333,110.85714285714286,24.4,77.36,122.0
Bengaluru,2015-04-12,19.72,77.36,1.81,4.97,5.51,34.85,2.65,5.16,44.53,0.17,2.65,,122.0,Moderate,2,False,False,90,2015,4,6,1,107.0,160.0,119.33333333333333,105.42857142857143,32.08,77.36,85.0
Bengaluru,2015-04-13,17.03,77.36,2.17,8.53,9.95,34.3,2.23,2.75,39.03,0.81,2.62,,85.0,Satisfactory,3,False,False,85,2015,4,0,0,122.0,71.0,104.66666666666667,107.42857142857143,19.72,77.36,62.0
Bengaluru,2015-04-14,19.73,77.36,2.26,6.1,6.13,27.48,1.4,4.66,57.7,0.18,1.71,,62.0,Satisfactory,2,False,False,90,2015,4,1,0,85.0,76.0,89.66666666666667,105.42857142857143,17.03,77.36,177.0
Bengaluru,2015-04-15,22.52,77.36,6.71,4.86,14.02,15.15,5.45,4.9,77.05,0.21,5.37,,177.0,Moderate,2,False,False,90,2015,4,2,0,62.0,153.0,108.0,108.85714285714286,19.73,77.36,152.0
Bengaluru,2015-04-16,21.36,77.36,2.86,7.98,12.69,16.61,0.97,29.11,96.88,0.16,0.54,,152.0,Moderate,2,False,False,90,2015,4,3,0,177.0,80.0,130.33333333333334,119.14285714285714,22.52,77.36,210.0
Bengaluru,2015-04-17,24.35,77.36,3.06,6.64,7.42,38.54,12.93,2.58,97.2,0.81,12.95,,210.0,Poor,3,True,False,70,2015,4,4,0,152.0,129.0,179.66666666666666,130.71428571428572,21.36,77.36,170.0
Bengaluru,2015-04-18,18.33,77.36,2.4,5.98,6.47,21.02,3.84,3.99,101.63,0.81,4.51,,170.0,Moderate,3,False,False,85,2015,4,5,1,210.0,107.0,177.33333333333334,139.71428571428572,24.35,77.36,135.0
Bengaluru,2015-04-19,17.66,77.36,1.85,6.58,5.89,21.93,0.48,2.49,81.34,0.81,0.48,,135.0,Moderate,3,False,False,85,2015,4,6,1,170.0,122.0,171.66666666666666,141.57142857142858,18.33,77.36,118.0
Bengaluru,2015-04-20,27.46,77.36,2.53,7.91,7.1,24.78,4.58,5.53,37.22,0.81,5.17,,118.0,Moderate,3,False,False,85,2015,4,0,0,135.0,85.0,141.0,146.28571428571428,17.66,77.36,127.0
Bengaluru,2015-04-21,27.94,77.36,3.8,6.45,9.94,17.34,6.14,4.43,34.74,0.23,6.14,,127.0,Moderate,2,False,False,90,2015,4,1,0,118.0,62.0,126.66666666666667,155.57142857142858,27.46,77.36,47.0
Bengaluru,2015-04-22,23.81,77.36,4.01,6.21,13.57,5.42,0.92,26.42,32.79,0.22,1.79,,47.0,Good,4,False,False,80,2015,4,2,0,127.0,177.0,97.33333333333333,137.0,27.94,77.36,44.0
Bengaluru,2015-04-23,23.11,77.36,4.16,6.84,14.07,18.77,3.65,12.35,15.88,0.81,12.16,,44.0,Good,3,False,False,85,2015,4,3,0,47.0,152.0,72.66666666666667,121.57142857142857,23.81,77.36,67.0
Bengaluru,2015-04-24,15.12,77.36,4.35,14.96,12.52,35.77,1.13,5.12,109.66,0.81,1.27,,67.0,Satisfactory,3,False,False,85,2015,4,4,0,44.0,210.0,52.666666666666664,101.14285714285714,23.11,77.36,44.0
Bengaluru,2015-04-25,19.59,77.36,4.35,8.42,12.28,17.93,3.1,26.92,157.2,0.81,2.17,,44.0,Good,3,False,False,85,2015,4,5,1,67.0,170.0,51.666666666666664,83.14285714285714,15.12,77.36,82.0
Bengaluru,2015-04-26,69.85,77.36,8.6,14.35,19.55,15.8,1.22,15.91,123.32,0.81,0.77,,82.0,Satisfactory,3,False,False,85,2015,4,6,1,44.0,135.0,64.33333333333333,75.57142857142857,19.59,77.36,156.0
Bengaluru,2015-04-27,24.62,77.36,3.77,7.74,11.71,13.92,1.26,18.89,65.38,0.81,1.36,,156.0,Moderate,3,False,False,85,2015,4,0,0,82.0,118.0,94.0,81.0,69.85,77.36,96.0
Bengaluru,2015-04-28,32.92,77.36,7.12,12.95,18.7,11.62,2.31,14.79,57.59,43.78,3.7,,96.0,Satisfactory,2,False,False,90,2015,4,1,0,156.0,127.0,111.33333333333333,76.57142857142857,24.62,77.36,72.0
Bengaluru,2015-04-29,44.53,77.36,7.24,17.71,22.68,11.4,1.34,8.34,27.11,47.26,15.45,,72.0,Satisfactory,2,False,False,90,2015,4,2,0,96.0,47.0,108.0,80.14285714285714,32.92,77.36,117.0
Bengaluru,2015-04-30,26.68,77.36,3.79,16.69,12.64,10.15,0.92,11.54,51.81,39.43,13.75,,117.0,Moderate,3,False,False,85,2015,4,3,0,72.0,44.0,95.0,90.57142857142857,44.53,77.36,67.0
Bengaluru,2015-05-01,39.06,77.36,3.45,14.31,12.05,6.09,1.59,4.96,26.93,35.9,11.32,,67.0,Satisfactory,2,False,False,90,2015,5,4,0,117.0,67.0,85.33333333333333,90.57142857142857,26.68,77.36,217.0
Bengaluru,2015-05-02,50.83,77.36,5.74,14.24,14.93,21.03,4.44,2.99,16.83,34.57,9.36,,217.0,Poor,2,True,False,75,2015,5,5,1,67.0,44.0,133.66666666666666,115.28571428571429,39.06,77.36,64.0
Bengaluru,2015-05-03,62.58,77.36,5.03,15.2,10.05,14.62,1.32,7.47,17.81,37.56,11.01,,64.0,Satisfactory,2,False,False,90,2015,5,6,1,217.0,82.0,116.0,112.71428571428571,50.83,77.36,162.0
Bengaluru,2015-05-04,45.26,77.36,5.21,25.81,15.91,18.09,4.17,6.79,21.39,39.17,12.63,,162.0,Moderate,2,False,False,90,2015,5,0,0,64.0,156.0,147.66666666666666,113.57142857142857,62.58,77.36,75.0
Bengaluru,2015-05-05,40.37,77.36,9.03,20.7,13.3,5.94,0.0,8.6,36.56,37.07,9.99,,75.0,Satisfactory,2,False,False,90,2015,5,1,0,162.0,96.0,100.33333333333333,110.57142857142857,45.26,77.36,141.0
Bengaluru,2015-05-06,43.21,77.36,8.24,17.15,10.79,10.23,28.28,11.77,80.02,33.74,11.02,,141.0,Moderate,2,False,False,90,2015,5,2,0,75.0,72.0,126.0,120.42857142857143,40.37,77.36,70.0
Bengaluru,2015-05-07,41.53,77.36,5.74,20.41,14.16,15.4,0.5,4.67,31.73,22.24,6.38,,70.0,Satisfactory,2,False,False,90,2015,5,3,0,141.0,117.0,95.33333333333333,113.71428571428571,43.21,77.36,142.0
Bengaluru,2015-05-08,27.85,77.36,5.82,17.29,11.04,14.93,4.82,7.18,88.24,9.51,2.65,,142.0,Moderate,2,False,False,90,2015,5,4,0,70.0,67.0,117.66666666666667,124.42857142857143,41.53,77.36,140.0
Bengaluru,2015-05-09,36.83,77.36,4.6,24.35,13.81,17.12,23.56,6.64,39.61,6.11,3.89,,140.0,Moderate,2,False,False,90,2015,5,5,1,142.0,217.0,117.33333333333333,113.42857142857143,27.85,77.36,71.0
Bengaluru,2015-05-10,40.81,77.36,6.5,29.77,14.91,14.21,2.57,3.46,32.11,5.2,1.96,,71.0,Satisfactory,2,False,False,90,2015,5,6,1,140.0,64.0,117.66666666666667,114.42857142857143,36.83,77.36,66.0
Bengaluru,2015-05-11,36.11,77.36,6.97,29.38,17.29,15.84,0.3,11.84,14.0,4.94,1.55,,66.0,Satisfactory,2,False,False,90,2015,5,0,0,71.0,162.0,92.33333333333333,100.71428571428571,40.81,77.36,56.0
Bengaluru,2015-05-12,28.76,77.36,8.95,29.1,18.34,15.13,0.92,2.96,15.17,4.67,1.66,,56.0,Satisfactory,3,False,False,85,2015,5,1,0,66.0,75.0,64.33333333333333,98.0,36.11,77.36,45.0
Bengaluru,2015-05-13,40.74,77.36,8.61,32.27,20.96,14.66,0.0,2.77,7.96,4.9,1.37,,45.0,Good,2,False,False,90,2015,5,2,0,56.0,141.0,55.666666666666664,84.28571428571429,28.76,77.36,61.0
Bengaluru,2015-05-14,23.77,77.36,6.77,33.12,20.16,14.28,1.19,2.83,12.14,4.88,1.84,,61.0,Satisfactory,2,False,False,90,2015,5,3,0,45.0,70.0,54.0,83.0,40.74,77.36,70.0
Bengaluru,2015-05-15,17.34,77.36,5.26,22.13,14.1,18.55,2.06,3.08,12.14,5.66,2.25,,70.0,Satisfactory,2,False,False,90,2015,5,4,0,61.0,142.0,58.666666666666664,72.71428571428571,23.77,77.36,59.0
Bengaluru,2015-05-16,30.45,77.36,5.23,32.24,18.53,24.08,1.19,3.9,8.48,4.66,1.45,,59.0,Satisfactory,2,False,False,90,2015,5,5,1,70.0,140.0,63.333333333333336,61.142857142857146,17.34,77.36,125.0
Bengaluru,2015-05-17,15.8,77.36,5.08,22.62,11.25,14.2,12.23,5.8,21.44,4.22,2.05,,125.0,Moderate,2,False,False,90,2015,5,6,1,59.0,71.0,84.66666666666667,68.85714285714286,30.45,77.36,106.0
Bengaluru,2015-05-18,20.12,77.36,6.65,22.49,13.5,13.27,12.77,5.83,32.76,4.24,1.84,,106.0,Moderate,2,False,False,90,2015,5,0,0,125.0,66.0,96.66666666666667,74.57142857142857,15.8,77.36,84.0
Bengaluru,2015-05-19,25.27,77.36,10.97,31.22,20.24,17.26,1.14,3.92,37.13,4.19,1.16,,84.0,Satisfactory,2,False,False,90,2015,5,1,0,106.0,56.0,105.0,78.57142857142857,20.12,77.36,57.0
Bengaluru,2015-05-20,26.7,77.36,4.76,32.48,16.97,15.5,1.26,4.24,36.42,4.1,1.1,,57.0,Satisfactory,2,False,False,90,2015,5,2,0,84.0,45.0,82.33333333333333,80.28571428571429,25.27,77.36,56.0
Bengaluru,2015-05-21,27.84,77.36,6.01,17.97,9.15,13.64,1.21,4.38,25.96,4.18,1.19,,56.0,Satisfactory,2,False,False,90,2015,5,3,0,57.0,61.0,65.66666666666667,79.57142857142857,26.7,77.36,140.0
Bengaluru,2015-05-22,29.52,77.36,5.09,17.88,8.93,12.62,10.68,4.89,28.02,4.64,2.01,,140.0,Moderate,2,False,False,90,2015,5,4,0,56.0,70.0,84.33333333333333,89.57142857142857,27.84,77.36,156.0
Bengaluru,2015-05-23,27.97,77.36,6.23,23.45,13.42,11.58,17.21,12.38,22.59,5.16,3.92,,156.0,Moderate,2,False,False,90,2015,5,5,1,140.0,59.0,117.33333333333333,103.42857142857143,29.52,77.36,156.0
Bengaluru,2015-05-24,28.17,77.36,4.91,17.13,10.15,5.01,9.13,3.98,23.52,4.39,1.3,,156.0,Moderate,2,False,False,90,2015,5,6,1,156.0,125.0,150.66666666666666,107.85714285714286,27.97,77.36,111.0
Bengaluru,2015-05-25,27.71,77.36,4.01,18.69,10.4,3.25,4.19,4.81,21.85,4.57,1.28,,111.0,Moderate,2,False,False,90,2015,5,0,0,156.0,106.0,141.0,108.57142857142857,28.17,77.36,158.0
Bengaluru,2015-05-26,28.01,77.36,2.74,12.85,9.33,0.28,4.21,3.92,23.36,4.69,1.44,,158.0,Moderate,2,False,False,90,2015,5,1,0,111.0,84.0,141.66666666666666,119.14285714285714,27.71,77.36,93.0
Bengaluru,2015-05-27,31.7,77.36,2.97,11.83,9.27,2.77,4.79,4.02,27.83,3.77,1.05,,93.0,Satisfactory,2,False,False,90,2015,5,2,0,158.0,57.0,120.66666666666667,124.28571428571429,28.01,77.36,97.0
Bengaluru,2015-05-28,48.08,77.36,12.38,41.16,23.43,4.91,1.22,0.96,42.06,3.54,0.86,,97.0,Satisfactory,2,False,False,90,2015,5,3,0,93.0,56.0,116.0,130.14285714285714,31.7,77.36,94.0
Bengaluru,2015-05-29,30.77,77.36,6.31,22.5,13.99,4.88,1.4,0.92,31.65,5.05,1.34,,94.0,Satisfactory,2,False,False,90,2015,5,4,0,97.0,140.0,94.66666666666667,123.57142857142857,48.08,77.36,147.0
Bengaluru,2015-05-30,26.15,77.36,0.95,14.82,10.67,5.61,4.52,7.13,54.35,4.81,3.22,,147.0,Moderate,2,False,False,90,2015,5,5,1,94.0,156.0,112.66666666666667,122.28571428571429,30.77,77.36,100.0
Bengaluru,2015-05-31,40.71,77.36,0.75,6.62,5.01,2.89,2.84,4.24,22.32,5.42,3.15,,100.0,Satisfactory,2,False,False,90,2015,5,6,1,147.0,156.0,113.66666666666667,114.28571428571429,26.15,77.36,101.0
Bengaluru,2015-06-01,23.69,77.36,1.65,14.12,7.77,2.34,1.7,6.9,68.17,4.86,1.7,,101.0,Moderate,2,False,False,90,2015,6,0,0,100.0,111.0,116.0,112.85714285714286,40.71,77.36,84.0
Bengaluru,2015-06-02,23.95,77.36,0.46,9.28,3.25,2.31,1.77,7.93,54.65,4.08,1.68,,84.0,Satisfactory,2,False,False,90,2015,6,1,0,101.0,158.0,95.0,102.28571428571429,23.69,77.36,84.0
Bengaluru,2015-06-03,21.51,77.36,1.59,19.98,9.87,2.21,1.52,4.44,46.8,4.11,1.39,,84.0,Satisfactory,2,False,False,90,2015,6,2,0,84.0,93.0,89.66666666666667,101.0,23.95,77.36,74.0
Bengaluru,2015-06-04,25.56,77.36,1.14,6.39,7.52,1.93,1.4,4.47,29.64,3.16,1.3,,74.0,Satisfactory,2,False,False,90,2015,6,3,0,84.0,97.0,80.66666666666667,97.71428571428571,21.51,77.36,130.0
Bengaluru,2015-06-05,22.41,77.36,2.59,14.61,19.41,18.87,5.65,5.85,27.39,2.89,0.84,,130.0,Moderate,2,False,False,90,2015,6,4,0,74.0,94.0,96.0,102.85714285714286,25.56,77.36,74.0
Bengaluru,2015-06-06,16.02,77.36,4.7,30.73,36.51,30.36,1.78,11.64,20.75,0.81,1.72,,74.0,Satisfactory,3,False,False,85,2015,6,5,1,130.0,147.0,92.66666666666667,92.42857142857143,22.41,77.36,74.0
Bengaluru,2015-06-07,12.69,77.36,4.38,25.18,27.39,28.0,4.45,4.22,19.63,2.71,1.93,,74.0,Satisfactory,2,False,False,90,2015,6,6,1,74.0,100.0,92.66666666666667,88.71428571428571,16.02,77.36,162.0
Bengaluru,2015-06-08,13.29,77.36,4.82,22.65,13.65,23.12,3.93,17.45,17.13,2.49,3.93,,162.0,Moderate,2,False,False,90,2015,6,0,0,74.0,101.0,103.33333333333333,97.42857142857143,12.69,77.36,55.0
Bengaluru,2015-06-09,12.11,77.36,6.72,20.8,13.22,25.86,1.4,15.06,20.96,3.13,1.2,,55.0,Satisfactory,2,False,False,90,2015,6,1,0,162.0,84.0,97.0,93.28571428571429,13.29,77.36,72.0
Bengaluru,2015-06-10,13.66,77.36,3.61,22.16,11.83,21.15,1.96,6.09,24.49,3.13,1.94,,72.0,Satisfactory,2,False,False,90,2015,6,2,0,55.0,84.0,96.33333333333333,91.57142857142857,12.11,77.36,66.0
Bengaluru,2015-06-11,14.56,77.36,3.34,17.32,8.95,20.88,1.54,11.59,15.75,4.79,1.46,,66.0,Satisfactory,2,False,False,90,2015,6,3,0,72.0,74.0,64.33333333333333,90.42857142857143,13.66,77.36,81.0
Bengaluru,2015-06-12,14.76,77.36,3.2,13.35,7.08,5.29,1.89,10.35,20.52,4.35,1.56,,81.0,Satisfactory,2,False,False,90,2015,6,4,0,66.0,130.0,73.0,83.42857142857143,14.56,77.36,94.0
Bengaluru,2015-06-13,12.29,77.36,2.53,10.75,4.86,7.02,3.21,15.0,19.08,5.46,1.76,,94.0,Satisfactory,2,False,False,90,2015,6,5,1,81.0,74.0,80.33333333333333,86.28571428571429,14.76,77.36,128.0
Bengaluru,2015-06-14,11.72,77.36,1.76,9.61,4.7,7.86,2.36,1.96,20.38,4.56,1.79,,128.0,Moderate,2,False,False,90,2015,6,6,1,94.0,74.0,101.0,94.0,12.29,77.36,86.0
Bengaluru,2015-06-15,15.7,77.36,6.3,13.12,10.43,8.92,1.56,5.04,34.42,2.43,1.53,,86.0,Satisfactory,2,False,False,90,2015,6,0,0,128.0,162.0,102.66666666666667,83.14285714285714,11.72,77.36,136.0
Bengaluru,2015-06-16,22.94,77.36,2.88,10.09,5.6,9.22,3.74,1.58,13.24,1.66,1.72,,136.0,Moderate,2,False,False,90,2015,6,1,0,86.0,55.0,116.66666666666667,94.71428571428571,15.7,77.36,67.0
Bengaluru,2015-06-17,19.54,77.36,2.19,11.09,5.01,7.0,2.0,4.12,13.5,2.96,2.08,,67.0,Satisfactory,2,False,False,90,2015,6,2,0,136.0,72.0,96.33333333333333,94.0,22.94,77.36,45.0
Bengaluru,2015-06-18,22.68,77.36,2.8,18.7,9.83,8.31,1.3,1.35,16.42,5.04,1.3,,45.0,Good,2,False,False,90,2015,6,3,0,67.0,66.0,82.66666666666667,91.0,19.54,77.36,70.0
Bengaluru,2015-06-19,21.86,77.36,3.91,19.0,11.85,8.08,1.54,4.34,11.12,5.67,1.52,,70.0,Satisfactory,2,False,False,90,2015,6,4,0,45.0,81.0,60.666666666666664,89.42857142857143,22.68,77.36,93.0
Bengaluru,2015-06-20,18.74,77.36,3.9,14.48,9.69,7.31,2.89,1.95,8.62,4.36,1.31,,93.0,Satisfactory,2,False,False,90,2015,6,5,1,70.0,94.0,69.33333333333333,89.28571428571429,21.86,77.36,166.0
Bengaluru,2015-06-21,18.81,77.36,3.01,15.95,8.19,6.89,3.84,2.02,10.31,0.15,3.28,,166.0,Moderate,2,False,False,90,2015,6,6,1,93.0,128.0,109.66666666666667,94.71428571428571,18.74,77.36,183.0
Bengaluru,2015-06-22,15.11,77.36,2.78,16.04,11.71,27.31,4.29,5.53,10.68,0.81,5.56,,183.0,Moderate,3,True,False,70,2015,6,0,0,166.0,86.0,147.33333333333334,108.57142857142857,18.81,77.36,107.0
Bengaluru,2015-06-23,17.47,77.36,1.74,7.27,4.01,10.32,2.08,7.51,10.97,0.12,1.56,,107.0,Moderate,2,False,False,90,2015,6,1,0,183.0,136.0,152.0,104.42857142857143,15.11,77.36,140.0
Bengaluru,2015-06-24,15.92,77.36,0.89,5.61,1.82,8.75,5.48,5.41,21.62,0.81,13.45,,140.0,Moderate,3,False,False,85,2015,6,2,0,107.0,67.0,143.33333333333334,114.85714285714286,17.47,77.36,107.0
Bengaluru,2015-06-25,13.58,77.36,2.0,5.38,3.37,7.95,2.83,5.49,11.83,0.13,1.74,,107.0,Moderate,2,False,False,90,2015,6,3,0,140.0,45.0,118.0,123.71428571428571,15.92,77.36,70.0
Bengaluru,2015-06-26,14.52,77.36,1.14,6.1,3.71,7.5,1.75,4.41,13.27,0.1,1.34,,70.0,Satisfactory,2,False,False,90,2015,6,4,0,107.0,70.0,105.66666666666667,123.71428571428571,13.58,77.36,165.0
Bengaluru,2015-06-27,27.25,77.36,0.86,5.23,2.93,6.4,15.98,10.62,15.2,0.18,14.54,,165.0,Moderate,2,False,False,90,2015,6,5,1,70.0,93.0,114.0,134.0,14.52,77.36,160.0
Bengaluru,2015-06-28,20.99,77.36,0.72,4.38,1.91,6.3,2.03,2.53,15.42,0.24,2.47,,160.0,Moderate,2,False,False,90,2015,6,6,1,165.0,166.0,131.66666666666666,133.14285714285714,27.25,77.36,209.0
Bengaluru,2015-06-29,22.26,77.36,1.23,7.02,3.74,7.68,5.28,7.62,10.29,0.13,2.23,,209.0,Poor,2,True,False,75,2015,6,0,0,160.0,183.0,178.0,136.85714285714286,20.99,77.36,166.0
Bengaluru,2015-06-30,23.51,77.36,2.75,8.39,5.43,8.47,5.01,5.94,6.61,0.16,4.4,,166.0,Moderate,2,False,False,90,2015,6,1,0,209.0,107.0,178.33333333333334,145.28571428571428,22.26,77.36,187.0
Bengaluru,2015-07-01,19.76,77.36,1.24,6.34,3.24,6.34,6.96,6.28,6.45,0.11,4.98,,187.0,Moderate,2,True,False,75,2015,7,2,0,166.0,140.0,187.33333333333334,152.0,23.51,77.36,162.0
Bengaluru,2015-07-02,20.24,77.36,2.26,11.59,6.83,6.42,2.58,5.12,11.01,0.12,1.38,,162.0,Moderate,2,False,False,90,2015,7,3,0,187.0,107.0,171.66666666666666,159.85714285714286,19.76,77.36,185.0
Bengaluru,2015-07-03,17.28,77.36,1.07,5.11,2.7,5.96,7.52,3.69,8.37,0.81,1.35,,185.0,Moderate,3,True,False,70,2015,7,4,0,162.0,70.0,178.0,176.28571428571428,20.24,77.36,141.0
Bengaluru,2015-07-04,21.52,77.36,1.0,5.99,2.9,5.76,15.9,2.76,9.72,0.81,16.86,,141.0,Moderate,3,False,False,85,2015,7,5,1,185.0,165.0,162.66666666666666,172.85714285714286,17.28,77.36,225.0
Bengaluru,2015-07-05,19.43,77.36,1.13,7.66,4.66,4.74,20.81,2.29,7.89,0.16,8.67,,225.0,Poor,2,True,False,75,2015,7,6,1,141.0,160.0,183.66666666666666,182.14285714285714,21.52,77.36,309.0
Bengaluru,2015-07-06,19.27,77.36,2.21,8.79,6.36,26.67,26.99,2.54,8.96,0.13,24.39,,309.0,Very Poor,2,True,False,75,2015,7,0,0,225.0,209.0,225.0,196.42857142857142,19.43,77.36,136.0
Bengaluru,2015-07-07,23.27,77.36,1.73,7.83,7.62,10.45,2.86,3.36,9.3,0.14,1.36,,136.0,Moderate,2,False,False,90,2015,7,1,0,309.0,166.0,223.33333333333334,192.14285714285714,19.27,77.36,139.0
Bengaluru,2015-07-08,18.63,77.36,2.96,8.71,6.88,34.37,7.24,6.25,7.27,1.09,6.16,,139.0,Moderate,2,False,False,90,2015,7,2,0,136.0,187.0,194.66666666666666,185.28571428571428,23.27,77.36,161.0
Bengaluru,2015-07-09,14.52,77.36,5.93,10.04,8.43,19.3,3.42,3.89,7.56,0.18,1.47,,161.0,Moderate,2,False,False,90,2015,7,3,0,139.0,162.0,145.33333333333334,185.14285714285714,18.63,77.36,160.0
Bengaluru,2015-07-10,12.84,77.36,7.5,10.1,9.4,21.54,15.1,3.25,5.4,16.71,3.02,,160.0,Moderate,2,False,False,90,2015,7,4,0,161.0,185.0,153.33333333333334,181.57142857142858,14.52,77.36,127.0
Bengaluru,2015-07-11,19.08,77.36,6.5,10.66,9.34,20.9,2.42,2.39,5.06,22.69,2.88,,127.0,Moderate,2,False,False,90,2015,7,5,1,160.0,141.0,149.33333333333334,179.57142857142858,12.84,77.36,71.0
Bengaluru,2015-07-12,23.45,77.36,5.88,9.83,8.64,10.15,2.11,1.86,9.66,20.87,2.47,,71.0,Satisfactory,2,False,False,90,2015,7,6,1,127.0,225.0,119.33333333333333,157.57142857142858,19.08,77.36,246.0
Bengaluru,2015-07-13,25.62,77.36,5.21,12.22,9.75,10.8,27.06,2.84,10.42,21.59,7.32,,246.0,Poor,2,True,False,75,2015,7,0,0,71.0,309.0,148.0,148.57142857142858,23.45,77.36,250.0
Bengaluru,2015-07-14,27.03,77.36,4.42,11.7,9.3,10.17,10.62,2.78,7.82,24.35,6.14,,250.0,Poor,2,True,False,75,2015,7,1,0,246.0,136.0,189.0,164.85714285714286,25.62,77.36,176.0
Bengaluru,2015-07-15,24.09,77.36,5.64,17.43,12.1,6.08,9.91,4.49,5.49,23.09,3.81,,176.0,Moderate,2,False,False,90,2015,7,2,0,250.0,139.0,224.0,170.14285714285714,27.03,77.36,176.0
Bengaluru,2015-07-16,23.17,77.36,4.97,15.73,11.27,10.88,3.56,2.98,8.06,22.44,3.01,,176.0,Moderate,2,False,False,90,2015,7,3,0,176.0,161.0,200.66666666666666,172.28571428571428,24.09,77.36,55.0
Bengaluru,2015-07-17,26.84,77.36,6.18,10.76,9.67,9.89,1.62,3.46,8.48,0.81,1.13,,55.0,Satisfactory,3,False,False,85,2015,7,4,0,176.0,160.0,135.66666666666666,157.28571428571428,23.17,77.36,156.0
Bengaluru,2015-07-18,19.24,77.36,3.78,8.46,7.12,11.23,18.69,3.98,10.27,0.81,1.79,,156.0,Moderate,4,False,False,80,2015,7,5,1,55.0,127.0,129.0,161.42857142857142,26.84,77.36,195.0
